rank,bigram,pmi,frequency,message_count,contains_entity_term,network_score,first_seen,last_seen,example_message_id,example_timestamp,example_text,word_1,word_2
66,parliament speaker,8.326966489922551,15,14,False,124.90449734883826,2026-04-08 22:20:42+00:00,2026-04-13 19:14:30+00:00,184539,2026-04-08 22:20:42+00:00,"Speaker Qalibaf says ceasefire, negotiations with US ‘unreasonable’, citing truce violations Iran's parliament speaker has said that a bilateral ceasefire or...",parliament,speaker
67,capital beirut,8.301431397815415,5,5,False,41.507156989077075,2026-04-08 11:55:01+00:00,2026-04-09 14:35:01+00:00,184435,2026-04-08 11:55:01+00:00,"▶️ Footage captures the aftermath of the Israeli attacks on the Lebanese capital, Beirut. @PressTV",capital,beirut
68,ali akbar,8.255445192541234,5,5,False,41.27722596270617,2026-04-10 19:53:31+00:00,2026-04-12 14:50:38+00:00,184892,2026-04-10 19:53:31+00:00,"Accompanying Qalibaf are Foreign Minister Abbas Araghchi, Defense Council Secretary Ali Akbar Ahmadian, Central Bank Chief Abdolnaser Hemmati, and several...",ali,akbar
69,security council,8.236708629959647,6,6,False,49.42025177975788,2026-04-07 15:45:19+00:00,2026-04-08 10:15:16+00:00,184313,2026-04-07 15:45:19+00:00,Bahrain's anti-Iran draft resolution on reopening the Strait of Hormuz was rejected at the UN Security Council after Russia and China used their veto power....,security,council
70,two week,8.221278589390044,18,18,False,147.98301460902078,2026-04-07 22:47:11+00:00,2026-04-12 06:33:17+00:00,184359,2026-04-07 22:47:11+00:00,"After accepting Iran's conditions, US President Trump announced a two-week ceasefire. @PressTV",two,week
71,regime change,8.213625016846606,6,4,False,49.28175010107964,2026-04-07 10:39:13+00:00,2026-04-12 18:38:50+00:00,184255,2026-04-07 10:39:13+00:00,▶️ We are talking about regime change. Yes. But in the US. And here’s how some users online reacted to what has been described as a purge inside the Trump...,regime,change
72,southern suburbs,8.172983032349263,9,9,False,73.55684729114337,2026-04-08 13:07:01+00:00,2026-04-09 16:13:24+00:00,184448,2026-04-08 13:07:01+00:00,"🔴 Lebanese Red Crescent: Over 300 people killed or injured in Beirut, southern suburbs, many victims trapped under rubble @PressTV",southern,suburbs
73,response truce,8.172983032349261,5,5,False,40.86491516174631,2026-04-09 21:52:58+00:00,2026-04-13 23:41:02+00:00,184704,2026-04-09 21:52:58+00:00,"April 9: Hezbollah’s operations against the Zionist regime in response to the truce breach Hours after the Iran-US ceasefire following 40 days of aggression,...",response,truce
74,historic victory,8.152351699577132,9,8,False,73.37116529619419,2026-04-07 23:07:32+00:00,2026-04-10 21:37:23+00:00,184362,2026-04-07 23:07:32+00:00,🔴 Supreme national security council: 🔺Iran achieved historic victory by forcing criminal US to accept its 10-point plan. 🔺US has accepted Iran's control over...,historic,victory
75,pakistani capital,8.089927292621704,5,5,False,40.44963646310852,2026-04-10 20:42:02+00:00,2026-04-12 06:33:17+00:00,184895,2026-04-10 20:42:02+00:00,Iranian delegation reaches Islamabad for talks with US; Tehran stresses acceptance of preconditions A high-ranking Iranian delegation arrives in the...,pakistani,capital
