period_label,display_rank,term,term_label,plot_score,current_period_score,prior_period_score,status,score_source,is_current_top_term
Apr 10–12,9,president,president,0.13688313465789254,0.13688313465789254,,recurring,current_period,True
Apr 10–12,10,iran,iran,0.13688313465789254,0.13688313465789254,,new,current_period,True
Apr 10–12,11,islamic,islamic,0.12593248388526113,0.12593248388526113,,recurring,current_period,True
Apr 10–12,12,ceasefire,ceasefire,0.10950650772631403,0.10950650772631403,,recurring,current_period,True
Apr 10–12,13,pakistan,pakistan,0.10950650772631403,0.10950650772631403,,new,current_period,True
Apr 10–12,14,southern,southern,0.09855585695368263,0.09855585695368263,,recurring,current_period,True
Apr 10–12,15,negotiators,negotiators,0.09443083762612851,0.09443083762612851,,new,current_period,True
Apr 10–12,16,leader,leader ↓,0.23543808807142017,0.06022857924947272,0.23543808807142017,dropped,prior_period:Apr 9–10,False
Apr 10–12,17,day,day ↓,0.21322694768732392,0.03832727770420991,0.21322694768732392,dropped,prior_period:Apr 9–10,False
Apr 10–12,18,ayatollah,ayatollah ↓,0.19545803538004694,0.010950650772631403,0.19545803538004694,dropped,prior_period:Apr 9–10,False
Apr 10–12,19,revolution,revolution ↓,0.19101580730322767,0.07117923002210412,0.19101580730322767,dropped,prior_period:Apr 9–10,False
Apr 10–12,20,khamenei,khamenei ↓,0.18657357922640844,0.016425976158947104,0.18657357922640844,dropped,prior_period:Apr 9–10,False
Apr 12–14,1,trump,trump,0.34091230225104446,0.34091230225104446,,new,current_period,True
Apr 12–14,2,israeli,israeli,0.3156595391213375,0.3156595391213375,,recurring,current_period,True
Apr 12–14,3,blockade,blockade,0.3052201728580351,0.3052201728580351,,new,current_period,True
Apr 12–14,4,war,war,0.227274868167363,0.227274868167363,,recurring,current_period,True
Apr 12–14,5,strait,strait,0.1893957234728025,0.1893957234728025,,recurring,current_period,True
Apr 12–14,6,president,president,0.1893957234728025,0.1893957234728025,,recurring,current_period,True
Apr 12–14,7,pope,pope,0.18532652624979815,0.18532652624979815,,new,current_period,True
Apr 12–14,8,hormuz,hormuz,0.176769341907949,0.176769341907949,,recurring,current_period,True
Apr 12–14,9,israel,israel,0.15151657877824198,0.15151657877824198,,new,current_period,True
Apr 12–14,10,leo,leo,0.1467168332810902,0.1467168332810902,,new,current_period,True
Apr 12–14,11,us,us,0.14520338799581525,0.14520338799581525,,recurring,current_period,True
Apr 12–14,12,naval,naval,0.14307195602720396,0.14307195602720396,,new,current_period,True
Apr 12–14,13,donald,donald,0.1136374340836815,0.1136374340836815,,new,current_period,True
Apr 12–14,14,lebanon,lebanon,0.10732424330125474,0.10732424330125474,,recurring,current_period,True
Apr 12–14,15,aggression,aggression,0.101011052518828,0.101011052518828,,new,current_period,True
Apr 12–14,16,talks,talks ↓,0.45540340775809435,0.0772193859374159,0.45540340775809435,dropped,prior_period:Apr 10–12,False
Apr 12–14,17,islamabad,islamabad ↓,0.2956675708610479,0.06944509860669425,0.2956675708610479,dropped,prior_period:Apr 10–12,False
Apr 12–14,18,negotiations,negotiations ↓,0.15878443620315535,0.025252763129707,0.15878443620315535,dropped,prior_period:Apr 10–12,False
Apr 12–14,19,iran,iran ↓,0.13688313465789254,0.037879144694560496,0.13688313465789254,dropped,prior_period:Apr 10–12,False
Apr 12–14,20,islamic,islamic ↓,0.12593248388526113,0.06944509860669425,0.12593248388526113,dropped,prior_period:Apr 10–12,False
